"","Plot","Yr","dwdC.tacre","dwdC.gm2","dwdC.Mgha","AGunderstoryC.tacre","BGunderstoryC.tacre","AGunderstoryC.gm2","BGunderstoryC.gm2","AGunderstoryC.Mgha","BGunderstoryC.Mgha","litterC.tacre","litterC.gm2","litterC.Mgha","foresttype"
"2918",51278,2004,5.732264,1285.00162088,12.8500162088,1.045443,0.11616,234.35695731,26.0395872,2.3435695731,0.260395872,17.243103,3865.38639951,38.6538639951,"mountain-hemlock"
"2919",51278,2015,6.377371,1429.61525707,14.2961525707,1.05673825,0.117415,236.8890135025,26.32092055,2.368890135025,0.2632092055,17.34320175,3887.8255362975,38.878255362975,"mountain-hemlock"
"2920",51332,1996,4.509214,1010.83050238,10.1083050238,1.174952,0.13055,263.38898984,29.2653935,2.6338898984,0.292653935,27.343782,6129.65561094,61.2965561094,"western-hemlock"
"2921",51332,2008,8.608092,1929.67598364,19.2967598364,1.020966,0.113441,228.86994822,25.43006897,2.2886994822,0.2543006897,10.400237,2331.42112829,23.3142112829,"western-hemlock"
"2922",51332,2019,9.218438,2066.49724646,20.6649724646,1.005786,0.111754,225.46704762,25.05189418,2.2546704762,0.2505189418,10.347005,2319.48811085,23.1948811085,"western-hemlock"
"2923",51348,1997,8.866434,1987.58850978,19.8758850978,1.0221795,0.1135755,229.141978515,25.460219835,2.29141978515,0.25460219835,17.815346,3993.66611282,39.9366611282,"western-hemlock"
"2924",51348,2009,17.0385705,3819.536348985,38.19536348985,0.968787,0.107643,217.17298179,24.13033131,2.1717298179,0.2413033131,13.51126,3028.8191542,30.288191542,"western-hemlock"
"2925",51348,2020,14.142577,3170.34148609,31.7034148609,0.925699,0.1028555,207.51394483,23.057117435,2.0751394483,0.23057117435,12.8707675,2885.239950475,28.85239950475,"western-hemlock"
"2926",51365,2007,3.58637175,803.9569551975,8.039569551975,0.8073795,0.089709,180.990262515,20.11006653,1.80990262515,0.2011006653,7.17020475,1607.3447988075,16.073447988075,"alaska-yellow-cedar"
"2927",51365,2018,3.94087725,883.4264531325,8.834264531325,0.7949865,0.088332,178.212123705,19.80138444,1.78212123705,0.1980138444,7.58234025,1699.7332138425,16.997332138425,"alaska-yellow-cedar"
"2928",51375,2009,18.68586208136,4188.80970277847,41.8880970277847,0.850259405696,0.094473149992,190.602650974872,21.1780460337066,1.90602650974872,0.211780460337066,10.988290594292,2463.24510252244,24.6324510252244,"sitka-spruce"
"2929",51375,2020,19.77955610316,4433.98309164538,44.3398309164538,0.900948620128,0.100105251064,201.965652174094,22.4405941310169,2.01965652174094,0.224405941310169,11.08574347528,2485.09111485352,24.8509111485352,"sitka-spruce"
"2930",51379,2005,10.792826,2419.42780442,24.1942780442,0.97219,0.108021,217.9358323,24.21506757,2.179358323,0.2421506757,10.840848,2430.19289616,24.3019289616,"western-hemlock"
"2931",51408,1998,1.4024440134,314.385874483878,3.14385874483878,0.198477369,0.0220529784,44.49267180873,4.943616167928,0.4449267180873,0.04943616167928,3.5426449272,794.154713330424,7.94154713330424,"western-hemlock"
"2932",51408,2004,2.63214775,590.0485611175,5.900485611175,0.2444455,0.0271605,54.797347735,6.088569285,0.54797347735,0.06088569285,3.55270575,796.4100479775,7.964100479775,"western-hemlock"
"2933",51408,2015,2.97135575,666.0888184775,6.660888184775,0.23799825,0.02644425,53.3520677025,5.9280075225,0.533520677025,0.059280075225,3.57028575,800.3509565775,8.003509565775,"western-hemlock"
"2934",51446,1996,7.608381,1705.57076877,17.0557076877,1.048533,0.116504,235.04964261,26.11670168,2.3504964261,0.2611670168,28.743153,6443.35260801,64.4335260801,"western-hemlock"
"2935",51561,2011,17.144166,3843.20769222,38.4320769222,0.782421,0.0869355,175.39531557,19.488331035,1.7539531557,0.19488331035,9.12302775,2045.1091307175,20.451091307175,"sitka-spruce"
"2936",51598,1998,9.824515,2202.36152755,22.0236152755,0.992247,0.11025,222.43200999,24.7147425,2.2243200999,0.247147425,23.144785,5188.36645345,51.8836645345,"western-hemlock"
"2937",51598,2013,21.559983,4833.10138911,48.3310138911,0.983642,0.109294,220.50302714,24.50043598,2.2050302714,0.2450043598,15.835646,3549.87676382,35.4987676382,"western-hemlock"
"2938",51711,1997,0.04775,10.7041175,0.107041175,0.441721,0.04908,99.02059657,11.0022636,0.9902059657,0.110022636,0.80295425,179.9982542225,1.799982542225,NA
"2939",51711,2011,1.475e-05,0.0033065075,3.3065075e-05,0.4824355,0.053604,108.147566035,12.01640868,1.08147566035,0.1201640868,2.03367275,455.8884203675,4.558884203675,NA
"2940",51797,2005,2.467337,553.10293529,5.5310293529,1.929742,0.214416,432.59026414,48.06563472,4.3259026414,0.4806563472,6.589504,1477.16911168,14.7716911168,"mountain-hemlock"
