"","Plot","Yr","LAT","LON","ELEV","Common.Name","biomass.Mg.ha.dead","biomass.Mg.ha.live","standingdead_C_Mg_ha","livetree_C_Mg_ha","carbonratio","BGtree_C_Mg_ha","foresttype","standingdead_C_gm2","livetree_C_gm2","BGtree_C_gm2","total_treeC_gm2","NPP_C_gm2y","Year_start_NPP","Year_end_NPP"
"11",26,2016,55.48426,-131.237755,1700,"Sitka spruce",NA,246.381178548989,NA,123.190589274494,0.5,61.5952946372472,"mountain-hemlock",NA,12319.0589274494,6159.52946372472,18478.5883911741,146.406908686877,2005,2016
"12",26,2016,55.48426,-131.237755,1700,"western hemlock",NA,1306.94768286738,NA,653.473841433689,0.507,331.311237606881,"mountain-hemlock",NA,65347.3841433689,33131.1237606881,98478.507904057,429.363544858876,2005,2016
"13",33,2012,56.740751,-133.333632,100,"lodgepole pine",NA,17.0563695554955,NA,8.52818477774773,0.503,4.28967694320711,"lodgepole-pine",NA,852.818477774773,428.967694320711,1281.78617209548,NA,NA,NA
"14",33,2012,56.740751,-133.333632,100,"Sitka spruce",108.582896909647,10.8130499074015,54.2914484548235,5.40652495370075,0.5,2.70326247685037,"western-hemlock",5429.14484548235,540.652495370075,270.326247685037,810.978743055112,NA,NA,NA
"15",33,2012,56.740751,-133.333632,100,"western hemlock",252.1237654482,385.755972770003,126.0618827241,192.877986385001,0.507,97.7891390971957,"western-hemlock",12606.18827241,19287.7986385001,9778.91390971957,29066.7125482197,NA,NA,NA
"16",33,2012,56.740751,-133.333632,100,"mountain hemlock",NA,191.737293364637,NA,95.8686466823184,0.478,45.8252131141482,"western-hemlock",NA,9586.86466823184,4582.52131141482,14169.3859796467,NA,NA,NA
"17",69,2009,55.081839,-132.804055,300,"Alaska yellow-cedar",116.936720613704,277.318519509292,58.4683603068518,138.659259754646,0.478,66.2791261627208,"alaska-yellow-cedar",5846.83603068518,13865.9259754646,6627.91261627208,20493.8385917367,NA,NA,NA
"18",69,2009,55.081839,-132.804055,300,"lodgepole pine",29.0080324874897,218.463746525351,14.5040162437449,109.231873262675,0.503,54.9436322511257,"alaska-yellow-cedar",1450.40162437449,10923.1873262675,5494.36322511257,16417.5505513801,NA,NA,NA
"19",69,2009,55.081839,-132.804055,300,"western redcedar",1.36624498959008,33.5660678826495,0.683122494795042,16.7830339413248,0.504,8.45864910642767,"alaska-yellow-cedar",68.3122494795042,1678.30339413248,845.864910642768,2524.16830477524,NA,NA,NA
"20",69,2009,55.081839,-132.804055,300,"western hemlock",53.0977249291013,34.9037678813079,26.5488624645507,17.4518839406539,0.507,8.84810515791154,"alaska-yellow-cedar",2654.88624645507,1745.18839406539,884.810515791154,2629.99890985655,NA,NA,NA
